,Marketed Channel (CCM Website),Marketed Channel (Social Media),Marketed Channel (Community Event),Marketed Channel (Family member or friend),Marketed Channel (Current CCM student),Marketed Channel (CCM alumni),Marketed Channel (High School Teacher),Marketed Channel (High School Counselor),Marketed Channel (In-app advertisement),How You Heard (Employer),How You Heard (Billboard),How You Heard (Television),How You Heard (Radio),How You Heard (Home Mailer),How You Heard (Other),Impact (Affordable Cost),Impact (Location/Convenience),Impact (Choice of Programs),Impact (Online Offerings),Impact (Family/Friend Referral),Impact (Faculty/Staff),Impact (College Reputation),Impact (Financial Aid),Impact (Scholarships),Impact (Small Class Sizes),Impact (Extra-curricular Opportunities),Impact (Accepted Transfer Credits),Impact (Negative Experience at Another College),Impact (NJ Stars Program),Impact (Transfer CCM Credits),Impact (College Credit in High School),What degree program are you currently enrolled in?,Motivation (To Get a Job in Computing Field),Motivation (Transfer to Bachelor's Level Program),Motivation (Transfer Credits Back to HS Degree),Motivation (Career Advancement),Motivation (Career Change),Motivation (Professional Development),Motivation (Job Displacement),Motivation (Relocation),Motivation (Keep Current in Tech Industry),Motivation (IT Industry Certifications),Motivation (Financial),Motivation (Personal Enrichment),Major,Scale,Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,Gender,Race/ethnicity,Age 
298,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,,,,High Impact,High Impact,edam sharetime,,,,,,,,,,,,,,3.0,if it relates more to my career i will further pursue coding but i dont currently feel it relates to much to engineering and manufacturing.,Man,White,18 and younger
299,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Don't recall,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,CIS Game Development Option,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Computer Science,,,Man,White,18 and younger
300,No,No,No,Yes,Yes,No,Yes,Yes,Don't recall,Don't recall,No,Yes,Don't recall,No,Don't recall,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Electrical Engineering Technology,,,,,,,,,,,,,,3.0,I really enjoy coding and taking classes to learns the ins and outs is good but I find coding to be best self taught through practice.,Man,Multi-Racial,21-24
301,Don't recall,Yes,Don't recall,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Woman,White,25-34
302,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,High Impact,High Impact,High Impact,High Impact,,,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,,,High Impact,,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Man,Hispanic,25-34
303,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Don't recall,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,25-34
304,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Computer Science,,,Man,White,25-34
305,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,White,19-20
306,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,Hispanic,21-24
307,Yes,No,No,Don't recall,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Hispanic,19-20
308,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Computer Science,,,Man,White,35-64
309,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Business Administration,,,,,,,,,,,,,,4.0,Want to learn more about tech,Woman,Hispanic,19-20
310,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,,,,,,,,High Impact,High Impact,Gaining college credits for high school,,,,,,,,,,,,,,5.0,"I would be, this is the career I would like to do",Non-binary,White,18 and younger
311,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,,Computer Science,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,25-34
