,Marketed Channel (CCM Website),Marketed Channel (Social Media),Marketed Channel (Community Event),Marketed Channel (Family member or friend),Marketed Channel (Current CCM student),Marketed Channel (CCM alumni),Marketed Channel (High School Teacher),Marketed Channel (High School Counselor),Marketed Channel (In-app advertisement),How You Heard (Employer),How You Heard (Billboard),How You Heard (Television),How You Heard (Radio),How You Heard (Home Mailer),How You Heard (Other),Impact (Affordable Cost),Impact (Location/Convenience),Impact (Choice of Programs),Impact (Online Offerings),Impact (Family/Friend Referral),Impact (Faculty/Staff),Impact (College Reputation),Impact (Financial Aid),Impact (Scholarships),Impact (Small Class Sizes),Impact (Extra-curricular Opportunities),Impact (Accepted Transfer Credits),Impact (Negative Experience at Another College),Impact (NJ Stars Program),Impact (Transfer CCM Credits),Impact (College Credit in High School),What degree program are you currently enrolled in?,Motivation (To Get a Job in Computing Field),Motivation (Transfer to Bachelor's Level Program),Motivation (Transfer Credits Back to HS Degree),Motivation (Career Advancement),Motivation (Career Change),Motivation (Professional Development),Motivation (Job Displacement),Motivation (Relocation),Motivation (Keep Current in Tech Industry),Motivation (IT Industry Certifications),Motivation (Financial),Motivation (Personal Enrichment),Major,Scale,Please explain your answer to the question above.  Why or why not would you be interested in taking another computing class?,Gender,Race/ethnicity,Age 
347,Yes,No,No,Yes,Yes,Yes,Don't recall,Yes,No,No,No,No,No,No,Don't recall,High Impact,Some Impact,Some Impact,,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Computer Science,,,Man,White,19-20
348,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,Morris Tech,,,,,,,,,,,,,,4.0,I am pursuing a career in data science so I am compelled to take computing as well as math courses.,Man,Asian,18 and younger
349,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Some Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,High Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Security Certificate of Achievement,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Computer Science,,,Man,White,21-24
350,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,Undecided,,,,,,,,,,,,,,5.0,Computing is applicable in every carrear.,Man,Asian,18 and younger
351,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,Cybersecurity,,,Man,White,18 and younger
352,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,,,High Impact,High Impact,Data Analytics Certificate of Achievement,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Black/African American,18 and younger
353,Yes,No,No,Yes,Don't recall,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Man,White,18 and younger
354,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,,Some Impact,No Impact,,,,Some Impact,,Information Technology,Yes,No,No,No,No,No,No,No,No,No,No,No,Game Development,,,Man,Multi-Racial,19-20
355,No,No,Don't recall,No,No,Yes,Yes,Yes,No,Yes,Yes,Don't recall,No,No,Yes,High Impact,High Impact,Some Impact,,,No Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,,,No Impact,High Impact,High Impact,Data Analytics Certificate of Achievement,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Multi-Racial,18 and younger
356,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,White,19-20
357,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,21-24
358,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,High Impact,High Impact,Computer Science,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Science,,,Man,White,19-20
359,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,,High Impact,Some Impact,Some Impact,,,Some Impact,,,High Impact,,,,,High Impact,High Impact,Non Degree seeking,,,,,,,,,,,,,,3.0,I would like to be well acquainted with computing in case I need the skill/knowledge but do not want to commit to it seriously,Non-binary,White,18 and younger
360,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,No Impact,,,,High Impact,,Computer Science,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Business,,,Woman,White,25-34
361,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,,Some Impact,No Impact,No Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Computer Science,,,Man,White,25-34
362,No,No,Don't recall,Yes,Yes,No,No,No,No,No,No,No,No,Don't recall,Don't recall,No Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,Some Impact,,,Some Impact,,,,High Impact,,Computer Science,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Computer Science,,,Man,White,35-64
363,Yes,Don't recall,Yes,Yes,Don't recall,No,Yes,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,High Impact,,,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,,,Some Impact,Some Impact,Computer Science,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Engineering,,,Woman,Asian,19-20
364,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Digital Media Technology,Yes,No,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Black/African American,21-24
365,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,,Some Impact,,,,,Some Impact,,,,,,,Information Technology,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Business,,,Man,White,19-20
366,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Engineering ,,,,,,,,,,,,,,5.0,I would be interested in taking another computing class because I like this field and I am interested in programming.,Woman,Hispanic,18 and younger
367,No,No,No,Yes,Don't recall,Don't recall,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,,,,,,,,,,,,,,Information Technology,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Business,,,Man,White,19-20
368,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,White,18 and younger
369,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Science,,,Woman,Multi-Racial,21-24
370,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,EDAM,,,,,,,,,,,,,,3.0,Interested in learning how to code and understand how programs are made.,Man,White,18 and younger
371,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Engineering,,,Man,Multi-Racial,18 and younger
372,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Computer Science,,,Man,Multi-Racial,19-20
373,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Computer Science,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Science,,,Man,White,19-20
374,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,High Impact,,,,,,,,,,,,,,Mechanical Engineering,,,,,,,,,,,,,,3.0,Neither Python or Java are currently in vogue programming languages.,Man,White,25-34
375,Don't recall,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,High Impact,Some Impact,,,Some Impact,High Impact,Some Impact,Some Impact,Some Impact,,Some Impact,Some Impact,High Impact,,Culinary Arts and Science,,,,,,,,,,,,,,3.0,It is hard to say if I would or would not take a computing class again until the end of the semester,Woman,White,19-20
376,Yes,Don't recall,Don't recall,Yes,Yes,Don't recall,Yes,Yes,No,No,Yes,No,No,Yes,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Game Design,,,Man,White,21-24
377,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Computer Science,,,Woman,Hispanic,18 and younger
378,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Computer Science,,,Man,Asian,18 and younger
379,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,,,,High Impact,,,High Impact,,Information Security Certificate of Achievement,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Computer Science,,,Man,White,25-34
380,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Don't recall,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,CIS Game Development Option,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Man,Asian,18 and younger
381,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,High Impact,Some Impact,Some Impact,Some Impact,,Some Impact,Some Impact,Some Impact,,,Some Impact,,,High Impact,Some Impact,mechanical engineering tech. ,,,,,,,,,,,,,,3.0,I'm not a computer guy,Man,White,19-20
382,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No Impact,I am a Highschool student and decided to take the course since it was offered to me. ,,,,,,,,,,,,,,4.0,I am interested since technology has so many applications in the real world and it is a great skill to have. ,Man,Asian,18 and younger
383,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Don't recall,Some Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,Some Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Computer Science,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,Hispanic,18 and younger
384,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Computer Science,,,Man,Asian,25-34
385,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,Some Impact,Some Impact,,,Some Impact,High Impact,,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Computer Science,,,Man,Hispanic,18 and younger
386,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,"Technical Studies, Applied Associate of Science",No,No,No,No,No,No,No,No,Yes,No,No,Yes,Engineering,,,Man,White,18 and younger
387,Don't recall,No,No,Yes,No,Yes,Don't recall,Yes,No,No,Don't recall,Don't recall,No,Yes,Yes,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,High Impact,,,No Impact,No Impact,No Impact,,,High Impact,,Computer Science- Data Science,,,,,,,,,,,,,,4.0,I would be interested with taking more computing classes because so far my experience has been pleasant and I feel that I have learned quite a bit in the short time that I have been taking this class.,Man,Multi-Racial,19-20
388,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,mechanical engineering ,,,,,,,,,,,,,,1.0,I like working with physical materials ,Man,Unknown,19-20
389,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,,,No Impact,Some Impact,,,No Impact,High Impact,High Impact,Computer Science,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Computer Science,,,Non-binary,White,18 and younger
390,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Electrical Engineer,,,,,,,,,,,,,,4.0,"In my field of work (building Automation), we build our own PLCs and PUBs which require us to write codes and create programs in Niagra, or Schneider for us to be able to automate all of the building's climate control functions and have them run properly.",Man,White,19-20
391,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Don't recall,Some Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,High Impact,Information Technology,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,Asian,19-20
392,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Some Impact,Some Impact,High Impact,Some Impact,No Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Man,White,21-24
393,Don't recall,Don't recall,Don't recall,Don't recall,No,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,,,,,,,,,,,,Some Impact,High Impact,,Information Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Man,Unknown,21-24
394,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Non Degree seeking,,,,,,,,,,,,,,5.0,I love computers and learning more about computers,Man,Asian,19-20
395,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Non Degree seeking,,,,,,,,,,,,,,5.0,Taking Computer Science as my Major.,Man,Unknown,18 and younger
396,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Computer Science,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Science,,,Man,White,21-24
397,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Computer Science,,,Man,Black/African American,19-20
398,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,High Impact,Some Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Computer Science,,,Man,Unknown,21-24
399,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Undecided,,,,,,,,,,,,,,4.0,I know next to nothing about computers and I want to learn more and luckily for me I find it interesting to learn about.,Man,White,19-20
400,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Some Impact,High Impact,High Impact,,,,High Impact,,,Some Impact,,,,,,,Undecided,,,,,,,,,,,,,,5.0,This is why I am here,Man,White,35-64
401,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,,Some Impact,,,,,High Impact,High Impact,,High Impact,,,,,,,Information Technology,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Computer Science,,,Prefer not to say,Unknown,35-64
402,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,"Technical Studies, Applied Associate of Science",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Engineering,,,Woman,Native American,21-24
403,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Computer Science,,,Man,White,19-20
404,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,Some Impact,,Information Technology,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Exercise Science,,,Man,White,25-34
405,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Computer Science,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Computer Science,,,Man,White,19-20
406,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,White,19-20
407,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,Asian,18 and younger
408,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Computer Science,,,Man,Hispanic,19-20
409,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Don't recall,High Impact,High Impact,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,,,,High Impact,,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Criminal Justice ,,,Man,White,19-20
410,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Soicial Science,,,Man,White,21-24
411,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,High Impact,High Impact,High Impact,High Impact,No Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Computer Science,,,Man,White,35-64
412,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,ESL,,,Man,Hispanic,21-24
413,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Computer Science,,,Man,Black/African American,35-64
414,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,Computer Science,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,Science,,,Woman,Multi-Racial,19-20
415,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,White,19-20
416,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Cybersecurity,,,Man,White,18 and younger
417,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Information Technology,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Computer Science,,,Man,Asian,18 and younger
418,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,,Some Impact,High Impact,No Impact,High Impact,Some Impact,No Impact,Some Impact,Some Impact,,,,,,High Impact,,Information Technology,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Computer Science,,,Man,White,18 and younger
419,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,,Some Impact,High Impact,,High Impact,,Some Impact,Some Impact,Some Impact,No Impact,No Impact,,,,High Impact,,Information Technology,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Computer Science,,,Man,White,18 and younger
420,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Computer Science,,,Man,Black/African American,25-34
421,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No Impact,High Impact,No Impact,No Impact,High Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Information Technology,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Computer Science,,,Man,Hispanic,19-20
